Repo,File,Function,Line,CCN,Grade,Priority
jeeves-core,jeeves_avionics\webhooks\service.py,emit_event,324,10,B,MEDIUM
jeeves-core,jeeves_mission_system\tests\acceptance\test_pytest_imports.py,test_memory_imports,10,10,B,MEDIUM
jeeves-core,jeeves_protocols\config.py,get_ready_stages,121,10,B,MEDIUM
jeeves-core,jeeves_protocols\events.py,__post_init__,103,10,B,MEDIUM
jeeves-core,jeeves_protocols\protocols.py,RequestContext,17,10,B,MEDIUM
jeeves-core,jeeves_protocols\tests\unit\test_enums.py,TestToolCategory,44,10,B,MEDIUM
jeeves-core,jeeves_memory_module\adapters\sql_adapter.py,read_by_filter,176,10,B,MEDIUM
jeeves-core,jeeves_memory_module\repositories\trace_repository.py,get_agent_metrics,443,10,B,MEDIUM
jeeves-core,jeeves_memory_module\services\xref_manager.py,get_related_items,215,10,B,MEDIUM
jeeves-core,jeeves_memory_module\tests\unit\test_intent_classifier.py,MockLLMProvider,9,10,B,MEDIUM
jeeves-core,jeeves_memory_module\tests\unit\repositories\test_event_repository.py,test_create_event,14,10,B,MEDIUM
jeeves-core,jeeves_memory_module\tests\unit\repositories\test_event_repository.py,test_to_dict,48,10,B,MEDIUM
jeeves-core,jeeves_memory_module\tests\unit\services\test_session_state_service.py,test_session_state_to_dict,549,10,B,MEDIUM
airframe,airframe\adapters\llama_server.py,_stream_sse,135,10,B,MEDIUM
jeeves-core,jeeves_avionics\wiring.py,execute,171,9,B,LOW
jeeves-core,jeeves_avionics\database\factory.py,_maybe_init_schema,64,9,B,LOW
jeeves-core,jeeves_avionics\gateway\routers\chat.py,_process_event_stream,479,9,B,LOW
jeeves-core,jeeves_avionics\gateway\routers\health.py,get_dashboard,98,9,B,LOW
jeeves-core,jeeves_avionics\gateway\routers\interrupts.py,list_interrupts,239,9,B,LOW
jeeves-core,jeeves_avionics\llm\providers\mock.py,_mock_confirmation_detection,372,9,B,LOW
jeeves-core,jeeves_avionics\llm\providers\mock.py,_mock_confirmation_interpretation,419,9,B,LOW
jeeves-core,jeeves_avionics\observability\otel_adapter.py,start_span,222,9,B,LOW
jeeves-core,jeeves_avionics\tests\unit\checkpoint\test_postgres_adapter.py,TestSaveCheckpoint,94,9,B,LOW
jeeves-core,jeeves_avionics\tests\unit\checkpoint\test_postgres_adapter.py,test_list_single_checkpoint,307,9,B,LOW
jeeves-core,jeeves_avionics\tests\unit\distributed\test_redis_bus.py,test_get_queue_stats,613,9,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_chat.py,TestIsInternalEvent,72,9,B,LOW
jeeves-core,jeeves_avionics\tests\unit\llm\test_llamaserver_provider_new.py,test_generate_stream_delegates_to_airframe,113,9,B,LOW
jeeves-core,jeeves_avionics\tests\unit\llm\test_llamaserver_provider_new.py,test_request_conversion_to_airframe_format,238,9,B,LOW
jeeves-core,jeeves_avionics\tests\unit\llm\test_llm_providers.py,test_anthropic_provider_generate_stream,468,9,B,LOW
jeeves-core,jeeves_avionics\webhooks\service.py,_delivery_loop,405,9,B,LOW
jeeves-core,jeeves_avionics\webhooks\service.py,_deliver_with_retry,440,9,B,LOW
jeeves-core,jeeves_mission_system\api\chat.py,send_chat_message,315,9,B,LOW
jeeves-core,jeeves_mission_system\api\server.py,get_request_status,849,9,B,LOW
jeeves-core,jeeves_mission_system\common\prompt_compression.py,compress_for_prompt,18,9,B,LOW
jeeves-core,jeeves_mission_system\orchestrator\flow_service.py,ListSessions,151,9,B,LOW
jeeves-core,jeeves_mission_system\services\worker_coordinator.py,submit_envelope,121,9,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\conftest.py,pytest_configure,46,9,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\test_control_tower_resource_tracking.py,TestResourceTrackingEndToEnd,206,9,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\test_control_tower_resource_tracking.py,test_system_metrics_accumulate,249,9,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\test_unwired_audit_phase2.py,test_gateway_tracks_by_provider,393,9,B,LOW
jeeves-core,jeeves_protocols\envelope.py,to_state_dict,261,9,B,LOW
jeeves-core,jeeves_protocols\utils.py,JSONRepairKit,17,9,B,LOW
jeeves-core,jeeves_protocols\tests\unit\test_enums.py,test_tool_category_values,47,9,B,LOW
jeeves-core,jeeves_protocols\tests\unit\test_enums.py,TestTerminalReason,75,9,B,LOW
jeeves-core,jeeves_shared\logging\__init__.py,configure_logging,101,9,B,LOW
jeeves-core,jeeves_memory_module\services\code_indexer.py,get_stats,481,9,B,LOW
jeeves-core,jeeves_memory_module\services\nli_service.py,verify_claim,223,9,B,LOW
jeeves-core,jeeves_memory_module\services\xref_manager.py,find_refs,140,9,B,LOW
jeeves-core,jeeves_memory_module\tests\unit\test_intent_classifier.py,generate,12,9,B,LOW
jeeves-core,jeeves_memory_module\tests\unit\services\test_session_state_service.py,TestDataclass,546,9,B,LOW
jeeves-core,jeeves_memory_module\tests\unit\services\test_session_state_service.py,test_session_state_defaults,600,9,B,LOW
airframe,airframe\adapters\openai_chat.py,_build_payload,147,9,B,LOW
jeeves-core,jeeves_avionics\gateway\main.py,ready,211,8,B,LOW
